Country,Country code,State,State code,State type,Date,Category,Subcategory,Variable,Unit,Value,Year,Month,,,,,,,,,
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Bioenergy,GWh,2582,2019,1,,Year,Solar,Wind,Coal,Gas,Hydro,Bioenergy,Nuclear
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Coal,GWh,86375.09,2019,1,,2019,3.36%,4.59%,72.46%,3.48%,11.73%,1.07%,3.28%
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Gas,GWh,3971.55,2019,1,,2020,4.37%,4.50%,70.57%,3.89%,12.17%,1.08%,3.32%
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Hydro,GWh,7790.99,2019,1,,2021,4.65%,4.63%,72.98%,2.68%,10.88%,1.04%,2.99%
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Nuclear,GWh,3120.11,2019,1,,2022,5.97%,4.39%,73.03%,1.58%,10.94%,1.03%,2.90%
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Other Fossil,GWh,6.88,2019,1,,2023,7.29%,3.58%,76.45%,1.56%,6.89%,1.29%,2.75%
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Other Renewables,GWh,35.11,2019,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Solar,GWh,3534.81,2019,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2019,Electricity generation,Fuel,Wind,GWh,2851.89,2019,1,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Bioenergy,GWh,2186.5,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Coal,GWh,78298.38,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Gas,GWh,3194.95,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Hydro,GWh,7506.94,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Nuclear,GWh,2878.99,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Other Fossil,GWh,7.09,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Other Renewables,GWh,40.87,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Solar,GWh,3630.46,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2019,Electricity generation,Fuel,Wind,GWh,3094.47,2019,2,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Bioenergy,GWh,2070.17,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Coal,GWh,91481.45,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Gas,GWh,3732.91,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Hydro,GWh,9156.48,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Nuclear,GWh,3355.95,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Other Fossil,GWh,9.62,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Other Renewables,GWh,30.7,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Solar,GWh,4307.99,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2019,Electricity generation,Fuel,Wind,GWh,2965.95,2019,3,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Bioenergy,GWh,1436.3,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Coal,GWh,90446.02,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Gas,GWh,4206.71,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Hydro,GWh,11587.73,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Nuclear,GWh,3287.32,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Other Fossil,GWh,14.11,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Other Renewables,GWh,38.77,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Solar,GWh,4181.22,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2019,Electricity generation,Fuel,Wind,GWh,3707.29,2019,4,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Bioenergy,GWh,861.81,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Coal,GWh,94375.57,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Gas,GWh,4451.92,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Hydro,GWh,14670.01,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Nuclear,GWh,3782.3,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Other Fossil,GWh,14.72,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Other Renewables,GWh,29.37,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Solar,GWh,4342.58,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2019,Electricity generation,Fuel,Wind,GWh,6603.94,2019,5,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Bioenergy,GWh,516.04,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Coal,GWh,89885.26,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Gas,GWh,4328.38,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Hydro,GWh,15006.73,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Nuclear,GWh,4052.02,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Other Fossil,GWh,7.1,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Other Renewables,GWh,38.23,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Solar,GWh,3931.59,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2019,Electricity generation,Fuel,Wind,GWh,8781.15,2019,6,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Bioenergy,GWh,506.57,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Coal,GWh,83204.33,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Gas,GWh,4159.71,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Hydro,GWh,16636.12,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Nuclear,GWh,4382.27,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Other Fossil,GWh,7.89,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Other Renewables,GWh,29.03,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Solar,GWh,3438.82,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/07/2019,Electricity generation,Fuel,Wind,GWh,11343.6,2019,7,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Bioenergy,GWh,485.42,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Coal,GWh,76827.46,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Gas,GWh,3947.63,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Hydro,GWh,21048.86,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Nuclear,GWh,4302.32,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Other Fossil,GWh,7.04,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Other Renewables,GWh,25.09,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Solar,GWh,3587.46,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/08/2019,Electricity generation,Fuel,Wind,GWh,9704.01,2019,8,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Bioenergy,GWh,436.39,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Coal,GWh,74596.24,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Gas,GWh,4377.15,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Hydro,GWh,22081.09,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Nuclear,GWh,4220.23,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Other Fossil,GWh,6.86,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Other Renewables,GWh,26.83,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Solar,GWh,3565.13,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/09/2019,Electricity generation,Fuel,Wind,GWh,5477.94,2019,9,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Bioenergy,GWh,498.93,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Coal,GWh,74857.26,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Gas,GWh,4250.39,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Hydro,GWh,15746.26,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Nuclear,GWh,4312.43,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Other Fossil,GWh,7.29,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Other Renewables,GWh,31.79,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Solar,GWh,3882.41,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/10/2019,Electricity generation,Fuel,Wind,GWh,2111.48,2019,10,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Bioenergy,GWh,1070.36,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Coal,GWh,75718.4,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Gas,GWh,3807.33,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Hydro,GWh,10856.35,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Nuclear,GWh,3792.35,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Other Fossil,GWh,7.28,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Other Renewables,GWh,27.57,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Solar,GWh,3936.81,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/11/2019,Electricity generation,Fuel,Wind,GWh,2723.82,2019,11,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Bioenergy,GWh,2096.27,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Coal,GWh,82769.77,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Gas,GWh,3551.76,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Hydro,GWh,9628.58,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Nuclear,GWh,3676.59,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Other Fossil,GWh,7.62,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Other Renewables,GWh,29.61,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Solar,GWh,3928.39,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/12/2019,Electricity generation,Fuel,Wind,GWh,3948.74,2019,12,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Bioenergy,GWh,2180.13,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Coal,GWh,87403.67,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Gas,GWh,3392.71,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Hydro,GWh,9227.23,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Nuclear,GWh,3437.39,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Other Fossil,GWh,6.72,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Other Renewables,GWh,23.95,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Solar,GWh,4612.73,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/01/2020,Electricity generation,Fuel,Wind,GWh,3319.95,2020,1,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Bioenergy,GWh,2215.67,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Coal,GWh,85622.78,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Gas,GWh,3667.27,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Hydro,GWh,8998.02,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Nuclear,GWh,3172.9,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Other Fossil,GWh,10.44,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Other Renewables,GWh,28.68,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Solar,GWh,5090.66,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/02/2020,Electricity generation,Fuel,Wind,GWh,3518.87,2020,2,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Bioenergy,GWh,1602.12,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Coal,GWh,78499.54,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Gas,GWh,4301.69,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Hydro,GWh,9729.55,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Nuclear,GWh,4054.31,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Other Renewables,GWh,36.96,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Solar,GWh,5633.32,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/03/2020,Electricity generation,Fuel,Wind,GWh,3405.61,2020,3,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Bioenergy,GWh,1158.15,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Coal,GWh,61936.91,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Gas,GWh,4858.01,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Hydro,GWh,10815.01,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Nuclear,GWh,3860.07,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Other Fossil,GWh,10.8,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Other Renewables,GWh,33.26,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Solar,GWh,5353.45,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/04/2020,Electricity generation,Fuel,Wind,GWh,3473.87,2020,4,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Bioenergy,GWh,924.79,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Coal,GWh,72655.32,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Gas,GWh,5227.27,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Hydro,GWh,14793.31,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Nuclear,GWh,3797.54,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Other Fossil,GWh,11.16,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Other Renewables,GWh,36.47,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Solar,GWh,5618.3,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/05/2020,Electricity generation,Fuel,Wind,GWh,6237.89,2020,5,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Bioenergy,GWh,482.08,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Coal,GWh,73055.31,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Gas,GWh,5081.06,2020,6,,,,,,,,,
India,IND,India Total,IN,total,01/06/2020,Electricity generation,Fuel,Hydro,GWh,17833.2,2020,6,,,,,,,,,
